trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
234,False,"{'a': 0.01, 'e': 0.09632763823049303}",25,11,15.102944835783074,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
235,False,"{'a': 0.01, 'e': 0.09536916221554961}",25,3,8.549028863867566,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
236,False,"{'a': 0.01, 'e': 0.09442022319630235}",20,12,16.018798106626004,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.01, 'e': 0.09348072627805847}",20,14,10.740773765478346,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.01, 'e': 0.09255057751034329}",35,19,21.55277634496324,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
239,False,"{'a': 0.01, 'e': 0.09162968387750484}",20,2,4.537583897476399,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
240,False,"{'a': 0.01, 'e': 0.09071795328941251}",25,1,-11.783515541101876,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 1}",1
241,False,"{'a': 0.01, 'e': 0.08981529457224763}",20,2,28.540564622148608,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.01, 'e': 0.08892161745938634}",20,2,-25.952411860280424,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
243,False,"{'a': 0.01, 'e': 0.08803683258237255}",25,19,2.182336179911001,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.01, 'e': 0.0871608514619813}",30,6,2.5797126999730606,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 0}",1
245,False,"{'a': 0.01, 'e': 0.0862935864993705}",25,2,-32.80801894691662,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 1}",1
246,False,"{'a': 0.01, 'e': 0.08543495096732123}",20,0,15.667200336367735,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
247,False,"{'a': 0.01, 'e': 0.08458485900156469}",20,6,-28.293646200975086,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
248,False,"{'a': 0.01, 'e': 0.08374322559219596}",20,0,34.160796159813536,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
249,False,"{'a': 0.01, 'e': 0.08290996657517266}",25,2,35.746363184425455,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.01, 'e': 0.0820849986238988}",30,7,37.06909925184075,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
251,False,"{'a': 0.01, 'e': 0.08126823924089167}",25,10,21.8293861926549,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
